gene_id	switch_sig	visibility_kw	visibility_deseq2	visibility_edger
ENSG00000245293.2	False	gene_only	gene_only	gene_only
ENSG00000246985.7	False	gene_only	gene_only	gene_only
ENSG00000245498.6	True	visible	visible	visible
ENSG00000246090.6	False	gene_only	gene_only	gene_only
ENSG00000245146.6	True	visible	visible	visible
ENSG00000247240.7	False	gene_only	gene_only	gene_only
ENSG00000245468.3	False	gene_only	gene_only	gene_only
ENSG00000247157.6	False	gene_only	gene_only	gene_only
ENSG00000247193.2	False	none	gene_only	gene_only
ENSG00000245213.6	True	visible	visible	visible
ENSG00000244879.6	True	visible	visible	visible
ENSG00000245937.7	True	visible	visible	visible
ENSG00000247950.6	False	gene_only	gene_only	gene_only
ENSG00000245149.3	True	visible	visible	visible
ENSG00000246430.6	False	gene_only	gene_only	gene_only
ENSG00000247708.7	False	gene_only	gene_only	gene_only
ENSG00000247796.2	False	gene_only	gene_only	gene_only
ENSG00000247400.3	False	gene_only	gene_only	gene_only
ENSG00000246523.7	False	none	gene_only	gene_only
ENSG00000247081.7	True	silent	visible	visible
ENSG00000245281.6	True	visible	visible	visible
ENSG00000246982.6	False	none	gene_only	gene_only
ENSG00000245812.2	False	gene_only	gene_only	gene_only
ENSG00000246263.2	False	gene_only	gene_only	gene_only
ENSG00000246731.2	False	gene_only	gene_only	gene_only
ENSG00000245904.3	True	visible	visible	visible
ENSG00000245532.7	True	visible	visible	visible
ENSG00000246100.3	False	gene_only	gene_only	gene_only
ENSG00000245888.6	False	gene_only	gene_only	gene_only
ENSG00000245849.6	False	gene_only	gene_only	gene_only
ENSG00000247287.2	True	visible	visible	visible
ENSG00000246695.7	False	gene_only	gene_only	gene_only
ENSG00000246174.7	False	gene_only	gene_only	gene_only
ENSG00000246089.3	True	visible	visible	visible
ENSG00000247572.7	True	visible	visible	visible
ENSG00000246889.2	False	gene_only	gene_only	gene_only
ENSG00000246022.2	False	none	gene_only	gene_only
ENSG00000247774.6	False	gene_only	gene_only	gene_only
ENSG00000247092.6	True	visible	visible	visible
ENSG00000247095.2	True	visible	visible	visible
ENSG00000245614.3	False	none	gene_only	gene_only
ENSG00000247416.2	False	none	gene_only	gene_only
ENSG00000247137.8	True	visible	visible	visible
ENSG00000245598.6	False	none	gene_only	gene_only
ENSG00000244968.6	False	gene_only	gene_only	gene_only
ENSG00000248019.2	False	gene_only	gene_only	gene_only
ENSG00000247134.6	False	gene_only	gene_only	gene_only
ENSG00000246582.2	False	none	gene_only	gene_only
ENSG00000247556.6	True	visible	visible	visible
ENSG00000246067.7	True	visible	visible	visible
ENSG00000247271.6	True	silent	visible	visible
ENSG00000246528.3	True	silent	visible	visible
ENSG00000248079.2	False	gene_only	gene_only	gene_only
ENSG00000245694.9	True	visible	visible	visible
ENSG00000246339.5	False	gene_only	gene_only	gene_only
ENSG00000246379.6	False	gene_only	gene_only	gene_only
ENSG00000245275.7	False	none	gene_only	gene_only
ENSG00000247121.6	False	gene_only	gene_only	gene_only
ENSG00000245552.6	False	none	gene_only	gene_only
ENSG00000214432.9	False	gene_only	gene_only	gene_only
ENSG00000246662.6	False	none	gene_only	gene_only
ENSG00000245017.2	False	gene_only	gene_only	gene_only
ENSG00000247982.6	False	none	gene_only	gene_only
ENSG00000245571.6	False	gene_only	gene_only	gene_only
ENSG00000245685.6	False	gene_only	gene_only	gene_only
ENSG00000245060.6	False	gene_only	gene_only	gene_only
ENSG00000247516.6	False	gene_only	gene_only	gene_only
ENSG00000247675.6	False	none	gene_only	gene_only
ENSG00000245025.2	False	none	gene_only	gene_only
ENSG00000247809.7	True	visible	visible	visible
ENSG00000247317.3	True	visible	visible	visible
ENSG00000250320.5	False	none	gene_only	gene_only
ENSG00000245526.10	True	visible	visible	visible
ENSG00000237125.8	True	visible	visible	visible
ENSG00000178722.12	False	none	gene_only	gene_only
ENSG00000250365.6	False	none	gene_only	gene_only
ENSG00000250802.6	True	silent	visible	visible
ENSG00000249267.6	False	gene_only	gene_only	gene_only
ENSG00000251372.5	False	none	gene_only	gene_only
ENSG00000249328.2	True	visible	visible	visible
ENSG00000248714.6	False	none	gene_only	gene_only
ENSG00000248161.5	True	visible	visible	visible
ENSG00000248890.1	False	gene_only	gene_only	gene_only
ENSG00000250938.5	False	gene_only	gene_only	gene_only
ENSG00000249364.5	False	gene_only	gene_only	gene_only
ENSG00000237187.8	True	visible	visible	visible
ENSG00000248174.5	False	none	gene_only	gene_only
ENSG00000251141.5	True	visible	visible	visible
ENSG00000249592.5	False	gene_only	gene_only	gene_only
ENSG00000251442.5	False	gene_only	gene_only	gene_only
ENSG00000248587.7	False	gene_only	gene_only	gene_only
ENSG00000250999.1	False	gene_only	gene_only	gene_only
ENSG00000250041.2	True	visible	visible	visible
ENSG00000248092.7	True	visible	visible	visible
ENSG00000250007.6	False	none	gene_only	gene_only
ENSG00000250328.5	True	visible	visible	visible
ENSG00000250132.6	True	visible	visible	visible
ENSG00000248429.5	False	none	gene_only	gene_only
ENSG00000251022.6	False	gene_only	gene_only	gene_only
ENSG00000249673.6	True	visible	visible	visible
ENSG00000249509.1	False	none	gene_only	gene_only
ENSG00000251136.8	False	gene_only	gene_only	gene_only
ENSG00000251364.6	True	visible	visible	visible
ENSG00000248508.6	True	visible	visible	visible
ENSG00000249042.5	True	visible	visible	visible
ENSG00000251602.6	False	gene_only	gene_only	gene_only
ENSG00000249306.5	True	silent	visible	visible
ENSG00000249816.6	False	none	gene_only	gene_only
ENSG00000249859.9	True	visible	visible	visible
ENSG00000249846.6	False	none	gene_only	gene_only
ENSG00000248858.7	False	none	gene_only	gene_only
ENSG00000152931.7	True	silent	visible	visible
ENSG00000250073.2	True	visible	visible	visible
ENSG00000251432.6	True	visible	visible	visible
ENSG00000248360.7	False	gene_only	gene_only	gene_only
ENSG00000251165.5	True	visible	visible	visible
ENSG00000251450.1	False	none	gene_only	gene_only
ENSG00000249669.9	True	visible	visible	visible
ENSG00000250241.5	False	gene_only	gene_only	gene_only
ENSG00000196810.4	True	visible	visible	visible
ENSG00000250056.5	True	visible	visible	visible
ENSG00000250451.5	True	silent	visible	visible
ENSG00000249203.1	False	none	gene_only	gene_only
ENSG00000250208.6	False	gene_only	gene_only	gene_only
ENSG00000248455.5	False	none	gene_only	gene_only
ENSG00000249487.6	True	silent	visible	visible
ENSG00000249740.2	True	visible	visible	visible
ENSG00000249173.5	False	gene_only	gene_only	gene_only
ENSG00000249249.1	False	gene_only	gene_only	gene_only
ENSG00000248810.1	False	none	gene_only	gene_only
ENSG00000250198.1	False	gene_only	gene_only	gene_only
ENSG00000250891.1	False	gene_only	gene_only	gene_only
ENSG00000250846.6	False	none	gene_only	gene_only
ENSG00000250326.1	False	none	gene_only	gene_only
ENSG00000281501.1	True	visible	visible	visible
ENSG00000250012.1	False	gene_only	gene_only	gene_only
ENSG00000251661.3	False	gene_only	gene_only	gene_only
ENSG00000249464.5	True	silent	visible	visible
ENSG00000250786.1	False	gene_only	gene_only	gene_only
ENSG00000250159.6	True	visible	visible	visible
ENSG00000248668.2	False	none	gene_only	gene_only
ENSG00000250978.5	False	gene_only	gene_only	gene_only
ENSG00000248309.7	True	visible	visible	visible
ENSG00000250742.2	False	gene_only	gene_only	gene_only
ENSG00000248441.6	False	gene_only	gene_only	gene_only
ENSG00000250548.6	True	visible	visible	visible
ENSG00000251562.7	True	visible	visible	visible
ENSG00000250222.1	True	visible	visible	visible
ENSG00000248671.7	True	visible	visible	visible
ENSG00000248636.6	False	gene_only	gene_only	gene_only
ENSG00000251151.2	False	gene_only	gene_only	gene_only
ENSG00000249532.5	False	gene_only	gene_only	gene_only
ENSG00000251257.2	False	gene_only	gene_only	gene_only
ENSG00000251230.5	False	gene_only	gene_only	gene_only
ENSG00000250934.1	False	gene_only	gene_only	gene_only
ENSG00000251637.6	True	visible	visible	visible
ENSG00000248994.1	False	gene_only	gene_only	gene_only
ENSG00000248738.6	False	gene_only	gene_only	gene_only
ENSG00000248323.5	False	gene_only	gene_only	gene_only
ENSG00000248801.6	False	gene_only	gene_only	gene_only
ENSG00000196951.10	True	visible	visible	visible
ENSG00000251580.1	False	gene_only	gene_only	gene_only
ENSG00000251002.7	False	none	gene_only	gene_only
ENSG00000249738.8	True	silent	visible	visible
ENSG00000249898.7	True	silent	visible	visible
ENSG00000253320.5	True	visible	visible	visible
ENSG00000253716.5	True	visible	visible	visible
ENSG00000253773.2	False	none	gene_only	gene_only
ENSG00000254109.5	False	gene_only	gene_only	gene_only
ENSG00000253552.7	True	visible	visible	visible
ENSG00000253230.8	False	gene_only	gene_only	gene_only
ENSG00000253764.1	False	none	gene_only	gene_only
ENSG00000253549.5	False	gene_only	gene_only	gene_only
ENSG00000253686.1	False	gene_only	gene_only	gene_only
ENSG00000253426.5	False	gene_only	gene_only	gene_only
ENSG00000167912.5	True	visible	visible	visible
ENSG00000253210.1	False	none	gene_only	gene_only
ENSG00000253982.1	True	visible	visible	visible
ENSG00000253661.1	True	visible	visible	visible
ENSG00000273345.5	True	visible	visible	visible
ENSG00000254235.5	True	visible	visible	visible
ENSG00000253123.3	False	none	gene_only	gene_only
ENSG00000204758.7	False	none	gene_only	gene_only
ENSG00000253352.8	True	visible	visible	visible
ENSG00000253214.1	False	none	gene_only	gene_only
ENSG00000253633.1	False	none	gene_only	gene_only
ENSG00000253187.2	True	visible	visible	visible
ENSG00000253807.5	True	visible	visible	visible
ENSG00000253161.5	True	visible	visible	visible
ENSG00000253671.1	False	gene_only	gene_only	gene_only
ENSG00000254211.5	False	gene_only	gene_only	gene_only
ENSG00000245910.8	True	visible	visible	visible
ENSG00000253389.2	False	gene_only	gene_only	gene_only
ENSG00000254343.2	False	gene_only	gene_only	gene_only
ENSG00000253559.1	False	gene_only	gene_only	gene_only
ENSG00000254377.5	False	none	gene_only	gene_only
ENSG00000253177.1	False	none	gene_only	gene_only
ENSG00000254231.1	False	none	gene_only	gene_only
ENSG00000254615.2	True	visible	visible	visible
ENSG00000253642.5	False	none	gene_only	gene_only
ENSG00000253738.1	True	visible	visible	visible
ENSG00000253842.1	False	none	gene_only	gene_only
ENSG00000254363.6	False	none	gene_only	gene_only
ENSG00000253877.5	False	gene_only	gene_only	gene_only
ENSG00000255248.7	True	visible	visible	visible
ENSG00000254427.1	False	gene_only	gene_only	gene_only
ENSG00000255328.1	False	none	gene_only	gene_only
ENSG00000255062.1	True	visible	visible	visible
ENSG00000255026.1	False	none	gene_only	gene_only
ENSG00000254560.5	False	none	gene_only	gene_only
ENSG00000196696.12	False	gene_only	gene_only	gene_only
ENSG00000254860.5	False	gene_only	gene_only	gene_only
ENSG00000177112.7	True	visible	visible	visible
